src_ip,dst_ip,protocol,packet_size,label
192.168.10.201,8.8.8.8,ICMP,2826,Suspicious
192.168.9.207,208.67.220.220,TCP,1789,Suspicious
192.168.5.193,9.9.9.9,TCP,1670,Suspicious
192.168.1.113,8.8.4.4,ICMP,2741,Suspicious
192.168.4.69,208.67.220.220,UDP,473,Normal
192.168.1.132,149.112.112.112,TCP,869,Normal
192.168.1.253,208.67.220.220,ICMP,2620,Suspicious
192.168.1.247,208.67.222.222,UDP,313,Normal
192.168.9.66,1.1.1.1,ICMP,2585,Suspicious
192.168.3.152,1.0.0.1,ICMP,1777,Suspicious
192.168.4.171,4.2.2.2,UDP,2433,Suspicious
192.168.5.200,1.1.1.1,ICMP,2520,Suspicious
192.168.5.215,8.8.4.4,TCP,779,Normal
192.168.1.177,1.0.0.1,ICMP,2913,Suspicious
192.168.9.54,8.8.4.4,ICMP,2435,Suspicious
172.16.5.169,1.1.1.1,TCP,780,Normal
192.168.2.156,208.67.220.220,UDP,480,Normal
192.168.2.130,4.2.2.2,UDP,1505,Suspicious
192.168.0.72,1.1.1.1,ICMP,2406,Suspicious
192.168.2.67,149.112.112.112,ICMP,1904,Suspicious
192.168.3.77,1.0.0.1,UDP,1919,Suspicious
10.0.1.41,208.67.222.222,UDP,495,Normal
10.0.3.244,208.67.220.220,UDP,534,Normal
172.16.3.121,208.67.222.222,UDP,890,Normal
192.168.2.249,8.8.8.8,TCP,2378,Suspicious
192.168.4.226,4.2.2.2,UDP,698,Normal
10.0.2.104,208.67.222.222,UDP,716,Normal
10.0.1.59,4.4.4.4,ICMP,116,Normal
192.168.5.85,8.8.4.4,UDP,731,Normal
10.0.2.30,208.67.222.222,UDP,297,Normal
172.16.0.115,4.2.2.2,UDP,149,Normal
192.168.9.224,9.9.9.9,ICMP,1793,Suspicious
192.168.0.57,8.8.4.4,UDP,417,Normal
192.168.8.85,4.2.2.2,TCP,1529,Suspicious
10.0.3.137,208.67.222.222,UDP,855,Normal
192.168.6.246,208.67.220.220,ICMP,2855,Suspicious
10.0.3.137,4.2.2.2,TCP,968,Normal
10.0.1.204,9.9.9.9,UDP,587,Normal
192.168.8.140,149.112.112.112,UDP,2524,Suspicious
172.16.4.116,1.0.0.1,UDP,457,Normal
192.168.10.115,8.8.8.8,TCP,2524,Suspicious
192.168.9.29,149.112.112.112,ICMP,2559,Suspicious
172.16.5.27,149.112.112.112,TCP,403,Normal
192.168.0.220,1.0.0.1,TCP,517,Normal
192.168.8.99,149.112.112.112,ICMP,1908,Suspicious
192.168.10.212,149.112.112.112,ICMP,1918,Suspicious
192.168.7.240,208.67.222.222,ICMP,1859,Suspicious
192.168.7.27,4.4.4.4,ICMP,1331,Suspicious
192.168.0.99,1.1.1.1,UDP,89,Normal
192.168.0.143,208.67.222.222,ICMP,1558,Suspicious
10.0.1.140,208.67.222.222,ICMP,140,Normal
192.168.9.247,8.8.4.4,ICMP,1725,Suspicious
192.168.4.88,4.2.2.2,ICMP,2630,Suspicious
192.168.1.121,208.67.222.222,ICMP,1857,Suspicious
192.168.0.191,8.8.4.4,UDP,288,Normal
192.168.3.103,1.1.1.1,UDP,335,Normal
192.168.0.14,208.67.220.220,TCP,1657,Suspicious
10.0.0.222,9.9.9.9,TCP,771,Normal
10.0.1.3,4.4.4.4,ICMP,107,Normal
192.168.7.240,208.67.220.220,ICMP,2728,Suspicious
192.168.3.46,4.4.4.4,TCP,1405,Suspicious
192.168.4.226,8.8.4.4,TCP,920,Normal
192.168.7.232,208.67.222.222,ICMP,1623,Suspicious
192.168.4.52,208.67.222.222,TCP,316,Normal
192.168.0.170,4.4.4.4,UDP,1411,Suspicious
192.168.4.110,9.9.9.9,TCP,795,Normal
192.168.9.84,8.8.8.8,TCP,1507,Suspicious
10.0.1.41,1.1.1.1,UDP,372,Normal
192.168.3.103,208.67.220.220,TCP,710,Normal
192.168.8.193,1.1.1.1,ICMP,1865,Suspicious
192.168.3.22,208.67.222.222,TCP,782,Normal
192.168.3.99,4.2.2.2,UDP,1905,Suspicious
192.168.10.56,208.67.222.222,ICMP,1621,Suspicious
192.168.5.168,8.8.4.4,UDP,347,Normal
192.168.4.149,8.8.8.8,ICMP,1658,Suspicious
192.168.2.104,208.67.222.222,TCP,653,Normal
192.168.3.167,1.1.1.1,ICMP,2992,Suspicious
10.0.3.154,149.112.112.112,UDP,800,Normal
10.0.1.204,1.0.0.1,TCP,234,Normal
192.168.1.180,4.2.2.2,UDP,706,Normal
10.0.2.226,1.1.1.1,UDP,194,Normal
192.168.1.220,208.67.220.220,ICMP,2392,Suspicious
172.16.1.73,4.4.4.4,TCP,230,Normal
172.16.1.73,8.8.8.8,UDP,847,Normal
192.168.10.204,1.1.1.1,TCP,1561,Suspicious
192.168.6.157,4.2.2.2,ICMP,1762,Suspicious
192.168.3.75,208.67.222.222,ICMP,2229,Suspicious
192.168.7.25,1.0.0.1,ICMP,2522,Suspicious
192.168.4.23,1.0.0.1,TCP,2965,Suspicious
192.168.1.131,208.67.220.220,TCP,355,Normal
192.168.6.89,4.4.4.4,TCP,1405,Suspicious
192.168.6.13,208.67.220.220,ICMP,2744,Suspicious
192.168.2.191,9.9.9.9,ICMP,2827,Suspicious
192.168.7.244,8.8.4.4,ICMP,1615,Suspicious
192.168.1.132,8.8.4.4,ICMP,57,Normal
172.16.5.169,1.1.1.1,TCP,719,Normal
192.168.5.119,1.1.1.1,ICMP,48,Normal
10.0.0.176,8.8.8.8,TCP,432,Normal
192.168.6.169,8.8.4.4,ICMP,2560,Suspicious
192.168.2.208,9.9.9.9,UDP,545,Normal
10.0.2.114,208.67.220.220,TCP,1000,Normal
192.168.5.60,8.8.8.8,TCP,586,Normal
192.168.3.134,208.67.220.220,ICMP,2320,Suspicious
192.168.6.100,1.1.1.1,UDP,1375,Suspicious
192.168.6.242,208.67.222.222,TCP,2158,Suspicious
192.168.3.89,1.1.1.1,TCP,492,Normal
192.168.3.99,208.67.220.220,TCP,749,Normal
192.168.1.123,149.112.112.112,ICMP,2351,Suspicious
172.16.1.110,8.8.8.8,ICMP,113,Normal
192.168.3.115,149.112.112.112,ICMP,2042,Suspicious
192.168.4.7,9.9.9.9,TCP,2559,Suspicious
192.168.1.132,9.9.9.9,UDP,493,Normal
192.168.3.139,1.1.1.1,ICMP,53,Normal
10.0.2.226,4.4.4.4,UDP,375,Normal
192.168.0.220,9.9.9.9,TCP,634,Normal
192.168.10.248,9.9.9.9,ICMP,2235,Suspicious
10.0.2.63,208.67.220.220,TCP,402,Normal
192.168.5.87,4.4.4.4,ICMP,2072,Suspicious
192.168.9.163,8.8.8.8,TCP,2552,Suspicious
192.168.3.163,208.67.222.222,ICMP,2829,Suspicious
192.168.10.243,9.9.9.9,ICMP,2426,Suspicious
192.168.0.118,8.8.4.4,UDP,1962,Suspicious
10.0.1.34,4.4.4.4,TCP,177,Normal
192.168.7.143,1.1.1.1,UDP,2527,Suspicious
192.168.7.235,4.2.2.2,TCP,2344,Suspicious
192.168.5.119,4.4.4.4,TCP,966,Normal
172.16.0.168,8.8.4.4,UDP,643,Normal
192.168.2.20,8.8.8.8,TCP,2029,Suspicious
192.168.8.90,9.9.9.9,ICMP,2427,Suspicious
192.168.1.65,4.2.2.2,UDP,615,Normal
10.0.1.184,1.1.1.1,UDP,550,Normal
192.168.0.183,4.4.4.4,TCP,1493,Suspicious
192.168.10.152,1.0.0.1,UDP,2415,Suspicious
192.168.5.82,8.8.4.4,TCP,867,Normal
192.168.1.43,9.9.9.9,TCP,888,Normal
192.168.4.128,8.8.4.4,TCP,2500,Suspicious
192.168.1.212,8.8.4.4,UDP,1451,Suspicious
192.168.6.117,4.2.2.2,UDP,1366,Suspicious
192.168.7.134,149.112.112.112,ICMP,1671,Suspicious
192.168.4.8,8.8.4.4,TCP,2780,Suspicious
192.168.2.92,4.4.4.4,TCP,670,Normal
192.168.1.131,208.67.222.222,TCP,915,Normal
192.168.0.93,8.8.4.4,TCP,618,Normal
192.168.2.92,208.67.220.220,UDP,485,Normal
192.168.9.193,4.2.2.2,ICMP,2199,Suspicious
10.0.3.137,4.4.4.4,TCP,163,Normal
172.16.3.50,8.8.8.8,UDP,631,Normal
192.168.1.235,208.67.220.220,TCP,548,Normal
192.168.1.37,9.9.9.9,UDP,172,Normal
192.168.4.187,208.67.222.222,ICMP,2487,Suspicious
192.168.1.63,9.9.9.9,UDP,1792,Suspicious
192.168.4.8,8.8.8.8,TCP,233,Normal
192.168.8.106,8.8.4.4,TCP,1632,Suspicious
192.168.1.235,8.8.4.4,UDP,372,Normal
10.0.1.152,8.8.4.4,UDP,287,Normal
192.168.9.95,1.1.1.1,TCP,2004,Suspicious
192.168.1.173,149.112.112.112,TCP,916,Normal
192.168.0.196,8.8.8.8,TCP,676,Normal
192.168.1.223,8.8.8.8,ICMP,50,Normal
192.168.5.106,208.67.220.220,UDP,1514,Suspicious
10.0.0.183,149.112.112.112,TCP,848,Normal
192.168.5.145,4.4.4.4,TCP,344,Normal
192.168.9.252,4.4.4.4,ICMP,1505,Suspicious
192.168.1.250,9.9.9.9,ICMP,2989,Suspicious
192.168.2.195,1.0.0.1,ICMP,2783,Suspicious
192.168.8.109,4.2.2.2,ICMP,1616,Suspicious
192.168.6.39,1.0.0.1,ICMP,2459,Suspicious
192.168.3.148,9.9.9.9,TCP,2988,Suspicious
192.168.3.89,9.9.9.9,UDP,642,Normal
